Day of Week,Stop ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair,Lat,Lon
Sunday,786022,Florida Ave. (Northbound Corner Of Greenfield Dr.),1,2,3,17,0,37.391382,-79.133470
Sunday,786151,Langhorne Rd. (Westbound Across Street From La Caretta,1,2,3,46,0,37.412769,-79.173164
Sunday,786196,Memorial Ave. (Southbound Corner Of Alleghany Ave.),1,2,3,43,0,37.400850,-79.168369
Sunday,786198,Memorial Ave. (Southbound Corner Of Wilton Ave Across From Burger King),1,2,3,44,0,37.402423,-79.167736
Sunday,786211,Oakley Avenue And Macon Street (Eastbound),1,2,3,15,0,37.402600,-79.177138
Sunday,786234,Old Forest Rd. (Westbound Across From Poindexter St.),1,1,3,47,0,37.412662,-79.200494
Sunday,786261,Park Ave. (Inbound Corner Of Floyd St.),1,2,3,22,0,37.408958,-79.153882
Sunday,786273,Fort Ave. & Marsh St. ( Outbound),2,1,3,101,0,37.401933,-79.160084
Sunday,786287,River Ridge Mall (Southbound From Red Lobster),0,3,3,60,0,37.365886,-79.174775
Sunday,786325,Rivermont Ave. (Westbound Corner Of Randolph St.),0,2,3,20,0,37.426676,-79.153200
Sunday,786337,Rivermont Avenue (Eastbound Corner Of Holly Street),2,1,3,12,0,37.433721,-79.159427
Sunday,786448,Wards Rd. (Northbound Koto Japanese Steakhouse),1,2,3,34,0,37.371545,-79.183811
Sunday,786449,Wards Rd. (Northbound Sonic Burger),2,0,3,15,0,37.352679,-79.183485
Sunday,786455,Wards Rd. (Southbound Edgewood Ave.),1,2,3,78,0,37.371995,-79.184226
Sunday,788296,Long Meadows Dr. (Northbound First Stop Off Fort Ave.),2,1,3,10,0,37.370851,-79.197149
Sunday,788306,Greenwood Dr. (Eastbound Corner Of Perrymont Ave.),1,1,3,11,0,37.392266,-79.189341
Sunday,3463386,Bedford Ave and Rivermont Ave,2,1,3,16,0,37.428818,-79.154448
Sunday,785815,16th St. & Wise St. (Outbound),1,1,2,28,0,37.403425,-79.147370
Sunday,785828,Atherholt Rd. (Eastbound Across St. From Cvc Next To Lawyers Offices Parking Lot),1,1,2,23,0,37.410973,-79.171943
Sunday,785833,Atlanta Ave. (Corner Of Wards Rd. In Front Of Orek Vacuum Store),0,2,2,46,0,37.349571,-79.186832
Sunday,785865,Boonsboro Rd. (Outbound Across From Kroger),0,1,2,14,0,37.443456,-79.202419
Sunday,785893,Campbell Ave. (Eastbound Corner Of Fairview Ave.),1,1,2,23,0,37.388847,-79.145644
Sunday,785899,Campbell Ave. (Eastbound Corner Of Otey St.),0,1,2,25,0,37.392111,-79.147895
Sunday,785905,Campbell Ave. (Inbound Corner Of Ridge Ave.),2,0,2,21,0,37.385467,-79.141463
Sunday,785920,Candlers Mountain Rd. (Northbound Applebee's),2,0,2,22,0,37.362283,-79.171467
Sunday,785927,Candlers Station Shopping Center (In Parking Lot),2,0,2,21,0,37.360942,-79.169413
Sunday,785938,Chambers St. (Northbound Corner Of 1st St.),0,2,2,16,0,37.414495,-79.161195
Sunday,785943,Chambers St. (Northbound Pulaski St. Dearington Apartments),1,1,2,17,0,37.418503,-79.164202
Sunday,785950,Church St. (Corner Of Sixth St.),1,1,2,15,0,37.416546,-79.145244
Sunday,785981,Eighth Street (Eastbound Corner Of Harrison St.),0,1,2,27,0,37.413244,-79.147277
Sunday,786005,Federal St. (Westbound Corner Of 4th St.),1,1,2,28,0,37.415827,-79.151294
Sunday,786021,Florida Ave. (Northbound Corner Of Campbell Ave.),1,1,2,18,0,37.380066,-79.133869
Sunday,786025,Florida Ave. (Northbound First Stop After Food Lion Stop),1,2,2,18,0,37.384833,-79.131944
